title,category,date,longitude,latitude
"EVP CP-1 Exotics Rx 0625 Prescribed Fire, Monroe, Florida",Wildfires,2025-06-25T07:39:00Z,-81.190217,25.6428
"EVER CP-1 Exotics Rx Prescribed Fire, Monroe, Florida",Wildfires,2025-06-25T07:17:00Z,-81.190217,25.6428
"FPR CPT 35 36 Rx 0625 Prescribed Fire, Collier, Florida",Wildfires,2025-06-25T07:14:00Z,-81.3562,26.204167
"OKR Soldiers Camp Island Rx 0625 Prescribed Fire, Ware, Georgia",Wildfires,2025-06-25T07:12:00Z,-82.210217,30.597533
"Indian Prairie Canal (22) Wildfire, Glades, Florida",Wildfires,2025-06-24T21:58:00Z,-80.9752778,27.0647222
"HENRY GEORGE WEST (29)~ Wildfire, Hillsborough, Florida",Wildfires,2025-06-24T21:47:00Z,-82.1061111,27.9261111
"OKR Floyds Island Rx 0624 Prescribed Fire, Charlton, Georgia",Wildfires,2025-06-24T06:47:00Z,-82.247567,30.86855
"Racquet Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-23T17:41:00Z,-141.106667,66.326383
"BARSTOW ROAD Wildfire, Walla Walla, Washington",Wildfires,2025-06-23T10:29:00Z,-118.34398,46.47261
"New Cottonwood Wildfire, Northwest Arctic, Alaska",Wildfires,2025-06-22T22:44:00Z,-159.64,68.17
"Shortcut Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-22T21:25:00Z,-151.537233,65.085039
"Ikpikpuk Wildfire, North Slope, Alaska",Wildfires,2025-06-22T13:41:00Z,-154.87,69.54
"Bronx Wildfire, North Slope, Alaska",Wildfires,2025-06-22T13:09:00Z,-155.25,69.47
"Nenana Ridge Complex Incident Complex, Fairbanks North Star, Alaska",Wildfires,2025-06-22T00:19:00Z,-148.602775,64.724717
"Kirishimayama Volcano, Japan",Volcanoes,2025-06-22T00:00:00Z,130.862,31.934
"Roundabout Complex Incident Complex, Yukon-Koyukuk, Alaska",Wildfires,2025-06-21T20:03:00Z,-156.590973,65.851001
"Yellow Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-21T18:32:00Z,-146.588333,65.7275
"East Gakona River Wildfire, Copper River, Alaska",Wildfires,2025-06-21T17:29:00Z,-145.008333,62.766833
"Sand Lake Wildfire, Southeast Fairbanks, Alaska",Wildfires,2025-06-21T16:55:00Z,-144.365467,63.797167
"Kerulu Wildfire, Northwest Arctic, Alaska",Wildfires,2025-06-21T16:47:00Z,-158.14,66.38
"Tallowpot Wildfire, Northwest Arctic, Alaska",Wildfires,2025-06-21T13:27:00Z,-163.886333,65.887333
"McArthur Creek Wildfire, Southeast Fairbanks, Alaska",Wildfires,2025-06-21T00:45:00Z,-141.210917,63.115533
"Ridgeline Wildfire, Southeast Fairbanks, Alaska",Wildfires,2025-06-20T23:04:00Z,-141.44,63.378917
"River Trail Wildfire, Southeast Fairbanks, Alaska",Wildfires,2025-06-20T23:03:00Z,-141.947883,63.4187
"Moldy Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T22:46:00Z,-156.739841,65.582658
"Louie Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T22:41:00Z,-156.743,65.582333
"Ptarmigan Complex Incident Complex, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T21:51:00Z,-144.510988,65.631179
"Fish Lake Wildfire, Copper River, Alaska",Wildfires,2025-06-20T20:40:00Z,-145.97365,62.60625
"Porphyry Wildfire, Southeast Fairbanks, Alaska",Wildfires,2025-06-20T20:34:00Z,-142.5525,64.2
"Goldstream Creek Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T19:57:00Z,-148.759167,64.73555
"Salmon Trout Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T19:49:00Z,-141.54,66.83
"Aggie Creek Wildfire, Fairbanks North Star, Alaska",Wildfires,2025-06-20T19:41:00Z,-148.154167,65.122783
"Alligator Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T18:42:00Z,-144.760333,65.636167
"Buckley Bar Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T18:37:00Z,-144.343517,65.368167
"Pilot Creek Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T18:35:00Z,-154.8635,63.9605
"Susulatna Hills Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T18:28:00Z,-155.283333,63.583333
"Easter Wildfire, North Slope, Alaska",Wildfires,2025-06-20T18:20:00Z,-153.99,68.05
"Colowyo Wildfire, Moffat, Colorado",Wildfires,2025-06-20T17:56:00Z,-107.829344,40.245916
"Hay Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T17:53:00Z,-151.61,65.1
"Birch Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T17:21:00Z,-144.221117,65.862217
"Christian Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T17:16:00Z,-144.808,67.337383
"Richards Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T14:33:00Z,-156.7275,65.685833
"Takoma Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T12:40:00Z,-143.9174,65.4264
"Michigan Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T12:21:00Z,-150.98055,67.471117
